The Which Witch Quiz,https://www.wizardingworld.com/quiz/which-witch-quiz,10,Which witch said: “I assert our inalienable right to party”?,Seraphina Picquery(False);Millicent Bagnold(True);Celestina Warbeck(False);Nymphadora Tonks(False);,In the book&#44 Prisoner of Azkaban&#44 which witch kept letting herself get ‘caught’ during the Witch Trials?,Miranda Goshawk(False);Ottaline Gambon(False);Wendelin the Weird(True);Bridget Wenlock(False);,Which witch (who was Minister for Magic) was good friends with Queen Victoria?,Josephina Flint(False);Priscilla Dupont(False);Hermione Granger(False);Evangeline Orpington(True);,Which of these witches was a Ravenclaw student during Harry’s time at Hogwarts?,Hannah Abbott(False);Daphne Greengrass(False);Marietta Edgecombe(True);Susan Bones(False);,Which witch was a captain of the Holyhead Harpies?,Gertie Keddle(False);Minerva McGonagall(False);Gwenog Jones(True);Ginny Weasley(False);,Which witch invented Floo Powder?,Ignatia Wildsmith(True);Fleamont Potter(False);Eupraxia Mole(False);Mary Jauncey(False);,Which witch was Sirius Black’s mother?,Callidora Black(False);Isla Black(False);Bellatrix Black(False);Warburga Black(True);,Which witch became Hogwarts headmistress in Harry Potter and the Order of the Phoenix?,Minerva McGonagall(False);Dolores Umbridge(True);Irma Pince(False);Pomona Sprout(False);,Which witch was a Metamorphmagus?,Rowena Ravenclaw(False);Queenie Goldstein(False);Madam Maxime(False);Nymphadora Tonks(True);,Which witch wrote 'A History of Magic'?,Bathilda Bagshot(True);Cassandra Vablatsky(False);Rita Skeeter(False);Miranda Goshawk(False);,
The First Year Hogwarts Quiz,https://www.wizardingworld.com/quiz/first-year-hogwarts-quiz,10,How do young witches and wizards find out they’re going to Hogwarts?,By email(False);By text message(False);By letter(True);By taking an exam(False);,How do students usually get to Hogwarts on 1st September?,By magic car(False);By train(True);By broomstick(False);By school bus(False);,Students are sorted into houses at Hogwarts. But how many are there?,Four(True);Seven(False);Three(False);Ten(False);,Where does the Sorting Ceremony happen at Hogwarts?,The house common rooms(False);The Great Hall(True);Dumbledore's office(False);The dungeons(False);,Which of these is NOT a school subject taught at Hogwarts?,Potions(False);Transfiguration(False);Mathematics(True);Charms(False);,What is special about the staircases at Hogwarts?,They move(True);They're gold(False);Down is up(False);Up is down(False);,What is the name of the forest in the grounds of Hogwarts?,The Fantastic Forest(False);The Frightening Forest(False);The Fearful Forest(False);The Forbidden Forest(True);,Whose portrait guards the entrance to Gryffindor common room?,The Thin Man(False);The Curious Queen(False);The Merry King(False);The Fat Lady(True);,What do you need to remember to get into Gryffindor common room?,The Gryffindor song(False);The name of another Gryffindor student(False);The password(True);The correct spell(False);,At the end of the school year&#44 what does the house with the most points win?,A year's supply of Chocolate Frogs(False);The house shield(False);The house cup(True);Broomsticks for their Quidditch team(False);,
The Beedle the Bard Quiz,https://www.wizardingworld.com/quiz/beedle-the-bard-quiz,15,In ‘The Wizard and the Hopping Pot’ tale what did the unpleasant son first find inside the old cooking pot?,A slipper(True);A bar of gold(False);A potion recipe(False);A wand(False);,How many people came to visit the unpleasant son before the villagers stopped seeking his help?,Five(False);Twenty(False);Ten(False);Three(True);,Why did the son eventually give in to the hopping pot and help the villagers?,He had a change of heart(False);He wanted the pot to stop hopping and be silent(True);His father admonished him in a dream(False);His own cousin became sick(False);,Where was the Fountain of Fair Fortune located?,A treacherous forest(False);The village of Hogsmeade(False);An island in the middle of a lake(False);An enchanted garden(True);,How often was a single unfortunate given the chance to fight their way to the Fountain?,Once every century(False);Once every fifty years(False);Once a decade(False);Once a year(True);,Which of the following was NOT one of the characters in ‘The Fountain of Fair Fortune’ tale?,Ava(True);Amata(False);Asha(False);Altheda(False);,A knight accidentally joined the three witches on their quest for Fair Fortune. What name was he known by?,Sir Forlorn(False);Sir Faintheart(False);Sir Luckless(True);Sir Gallant(False);,Why did the Warlock lock away his heart?,He was keeping it safe for the one he loved(False);He was afraid it would be stolen(False);He did not want to love(True);It was broken and he had no need of it(False);,Why did the Warlock decide to take a wife?,He wanted an heir to inherit his kingdom(False);His parents had died and could no longer disapprove(False);He overheard his servants talking negatively about him(True);He wanted a wife to look after him in his old age(False);,Where had the Warlock locked his hairy heart?,In an enchanted crystal casket(True);In a treasure chest at the centre of a maze(False);In a heart-shaped box(False);In an enchanted gilded cage(False);,In ‘Babbitty Rabbitty and her Cackling Stump’ what was Babbitty’s job at the palace?,Maid(False);Nanny(False);Healer(False);Washerwoman(True);,Babbitty agreed to perform magic so the foolish King looked powerful. But which spell was impossible to carry out?,A spell to raise the dead(True);A spell to make the King kind(False);A spell to ensure the King ruled forever(False);A spell to cure a child of boils(False);,In ‘The Tale of the Three Brothers’ what did the oldest brother ask Death for?,Mercy&#44(False);A wand more powerful than any other(True);A cloak of gold(False);The power to recall others from Death(False);,Who did the second brother bring back from the dead?,His infant son(False);A girl he had once hoped to marry(True);His rich grandfather so we could increase his inheritance(False);His wife who died an early death(False);,Did Death ever meet the third brother?,No&#44 Death will never find him(False);Yes&#44 after many years(True);It is yet to be seen(False);Yes&#44 immediately(False);,
The Sneaky Niffler Quiz,https://www.wizardingworld.com/quiz/sneaky-niffler-quiz,10,Who first introduced Harry&#44 Ron and Hermione to Nifflers?,Sirius Black(False);Rubeus Hagrid(True);Pomona Sprout(False);Wilhelmina Grubbly-Plank(False);,After a Care of Magical Creatures lesson&#44 who wanted a Niffler as a pet?,Harry Potter(False);Ginny Weasley(False);Ron Weasley(True);Lavender Brown(False);,Who put Nifflers in Umbridge’s office in Order of the Phoenix?,George Weasley(False);Lee Jordan(True);Peeves(False);Fred Weasley(False);,In Fantastic Beasts and Where to Find Them&#44 where did the Niffler first hide from Newt?,In Central Park(False);Under Tina’s bed(False);Behind a photograph of Jacob’s grandmother(True);On Broadway(False);,In Fantastic Beasts and Where to Find Them&#44 where did the Niffler break into&#44 other than a bank?,A jewellery store(True);A hat store(False);The subway(False);MACUSA headquarters(False);,In a Care of Magical Creatures lesson at Hogwarts&#44 what did the Nifflers have to do?,Tunnel under Hagrid’s hut(False);Dig for gold coins(True);Steal from the students(False);Dig for silver coins(False);,What object did a Niffler attempt to bite off of Pansy Parkinson’s wrist?,Her watch(True);Her Slytherin bracelet(False);A friendship bracelet(False);Her golden hair tie(False);,What happened to the gold coins the Nifflers dug up in Goblet of Fire?,Hagrid took them back(False);The winning Niffler kept them(False);They melted(False);They vanished(True);,How many baby Nifflers were there in Fantastic Beasts: The Crimes of Grindelwald?,Six(False);One(False);Three(False);Four(True);,In Fantastic Beasts: The Crimes of Grindelwald who helped Newt get the baby Nifflers back into their enclosure?,Jacob Kowalski(False);His assistant - Bunty(True);Tina Goldstein(False);The adult Niffler(False);,
The Animagus Quiz,https://www.wizardingworld.com/quiz/web-the-animagus-quiz,10,In which Harry Potter book do we first see an Animagus?,Chamber of Secrets(False);Prisoner of Azkaban(False);Deathly Hallows(False);Philosopher’s Stone(True);,In which year did Harry&#44 Ron and Hermione first learn about Animagi?,Third year(True);First year(False);Second year(False);Fourth year(False);,In which Hogwarts lesson did Harry&#44 Ron and Hermione study Animagi?,Care of Magical Creatures(False);Charms(False);Defence Against the Dark Arts(False);Transfiguration(True);,Which of the following characters was not an unregistered Animagus?,Rita Skeeter(False);Peter Pettigrew(False);Minerva McGonagall(True);James Potter(False);,What was James Potter’s Animagus form?,Stag(True);Wolf(False);Thestral(False);Doe(False);,What nickname did Sirius Black’s Animagus form earn him?,Padfoot(True);Grim(False);Dogbreath(False);Prongs(False);,How long did Peter Pettigrew live in his Animagus form as Scabbers the rat before he was discovered?,12 years(True);7 years(False);13 years(False);2 years(False);,Sirius identified Scabbers as Peter Pettigrew from a photograph. How?,He had no teeth(False);He had a missing toe(True);He was dark brown(False);He only had one set of whiskers(False);,What was Rita Skeeter’s Animagus form?,Sparrow(False);Beetle(True);Fruit fly(False);Bowtruckle(False);,Do Animagi need wands to transform?,Only when they’re amongst Muggles(False);No(True);Yes(False);Only when there’s a full moon(False);,
The Mischievously Tricky Quiz,https://www.wizardingworld.com/quiz/web-mischievously-tricky-quiz,10,What is the difference between monkshood and wolfsbane?,One is poisonous(False);They are different colours(False);One grows in winter(False);There is no difference(True);,How many O.W.L.s does Hermione have?,11(False);10(True);9(False);12(False);,Whose wand conjured the Dark Mark during the Quidditch World Cup?,Harry Potter(True);Barty Crouch Jr.(False);Voldemort(False);Mad-Eye Mood(False);,What does the spell Peskipiksi Pesternomi do?,Cages pixies(False);Repels pixies(False);Nothing(True);Freezes pixies(False);,How many Horcruxes did Voldemort (intentionally) make?,5(False);7(False);6(True);8(False);,Who taught Harry and his class the Unforgivable Curses?,Severus Snape(False);Barty Crouch Jr.(True);Amycus Carrow(False);Mad-Eye Moody(False);,Who was the rightful owner of the Elder Wand before Harry?,Hermione Granger(False);Severus Snape(False);Albus Dumbledore(False);Draco Malfoy(True);,How much Felix Felicis does Ron take at the end of Half-Blood Prince?,A whole bottle(False);None(False);Half a bottle(False);A little(True);,Which of these characters was not first mentioned by name in Philosopher’s Stone?,Dedalus Diggle(False);Sirius Black(False);Arabella Figg(False);Lucius Malfoy(True);,How many brothers does Ron have?,4(False);5(True);7(False);6(False);,
The Wizarding Conundrum Quiz,https://www.wizardingworld.com/quiz/web-quiz-wizarding-conundrums,8,Turning flames shades of green&#44 speak clear or you may never be seen. What am I?,Goblet of Fire(False);Floo powder(True);Avada Kedavra(False);Incendio(False);,Drink my blood to curse your life. What am I?,Centaur(False);Phoenix(False);Basilisk(False);Unicorn(True);,If you were in the Prefects’ bathroom and needed to get to the Room of Requirement&#44 how would you get there?,Go up two floors(True);Go up three floors(False);Go down five floors(False);Go down one floor(False);,If Luna had said Nargles infested four of the Christmas trees in the Great Hall&#44 how many would have been Nargle free?,13(False);16(False);10(False);8(True);,Open at the close is not me&#44 stroke my spine if you want to see. What am I?,The Invisibility Cloak(False);A Thestral(False);The Resurrection Stone(False);The Monster Book of Monsters(True);,What did Hagrid get in his Care of Magical Creatures O.W.L?,Dreadful(False);He didn’t take it(True);He was sent out for cheating(False);Exceeds Expectations(False);,Magic should be in my veins&#44 but no wand would choose my name. What am I?,Ghost(False);Muggle-born(False);Half-blood(False);Squib(True);,How many Knuts are there in 5 Galleons?,2465(True);1415(False);493(False);85(False);,
Fashion in the Wizarding World Quiz,https://www.wizardingworld.com/quiz/fashion-in-wizarding-world-quiz,15,What colour cloak was Dumbledore wearing when we first meet him in Philosopher’s Stone?,Blue(False);Green(False);Purple(True);Black(False);,What type of hat is Cornelius Fudge known for wearing?,Fedora(False);Top hat(False);Bowler(True);Snapback(False);,What type of bag does Rita Skeeter have in the Goblet of Fire?,Hippogriff feathers(False);Snake skin(False);Dragon skin(False);Crocodile skin(True);,What colour is Severus Snape best known for wearing?,Green(False);Brown(False);Black(True);Blue(False);,What is Hagrid’s overcoat made of?,Rabbit skin(False);Unicorn skin(False);Lion skin(False);Moleskin(True);,When Neville’s Boggart turns into Snape&#44 what does Neville make the Boggart hold&#44 inspired by his Grandmother’s clothing?,An auburn clutch bag(False);A crimson handbag(True);A black umbrella(False);A lime green purse(False);,What does Bill have dangling off his ear when Harry first meets him?,A lion(False);A fang(True);A skull(False);An eagle(False);,In Goblet of Fire&#44 which of these is not part of Mr Weasley’s Muggle outfit?,An old pair of jeans(False);A thick leather belt(False);A red hat(True);A golfing jumper(False);,What colour tartan are Professor McGonagall’s robes?,Red(True);Blue(False);Green(False);Pink(False);,What hair style did young Rita Skeeter have?,Long brown curls(False);A black bob(False);A ginger mullet(False);Short blonde hair(True);,What colour is Tonk’s t-shirt which bares the legend The Weird Sisters?,Bright purple(True);White(False);Navy blue(False);Dark blue(False);,In the Deathly Hallows film&#44 what is Neville wearing when he kills Nagini?,A leather jacket(False);A black hoodie(False);A turtleneck(False);A knitted sweater(True);,In the film&#44 what colour is Harry's jumper when he gets the Philosopher's Stone?,Blue(False);Red(True);Yellow(False);Pink(False);,In the film Half-Blood Prince&#44 what type of earrings does Luna wear to Slughorn’s Christmas party?,Lion earrings(False);Star earrings(True);Radish earrings(False);Diamond earrings(False);,What material is the Beauxbatons uniform made from?,Denim(False);Satin(False);Fine silk(True);Velvet(False);,
The Patronus Quiz,https://www.wizardingworld.com/quiz/the-patronus-quiz,10,What form does Harry’s Patronus take?,Doe(False);Lion(False);Unicorn(False);Stag(True);,When Harry saw his stag Patronus for the first time&#44 it was described as looking like…,A cow(False);A bull(False);A lion(False);A horse(True);,In order to cast a Patronus&#44 a wizard must concentrate on their happiest...,Desire(False);Emotion(False);Dream(False);Memory(True);,When was the first time that Harry Potter produced a corporeal Patronus?,While being taught how to cast a Patronus by Professor Lupin(False);While fighting off Dementors in the Forbidden Forest(False);While fighting off ‘Dementors’ during the Quidditch match with Ravenclaw(True);While fending off a Boggart during the Triwizard Tournament(False);,Which of these magical creatures was Albus Dumbledore’s Patronus?,Phoenix(True);Thestral(False);Hippogriff(False);Dragon(False);,Who was the first character we saw casting a Patronus in a Harry Potter book?,Professor Dumbledore(False);Professor Lupin(True);Professor McGonagall(False);Professor Snape(False);,In Latin&#44 what does ‘Expecto Patronum’ roughly mean?,‘I wish for a guard’(False);‘I await a patron’(True);‘I call for a sentinel’(False);‘I summon an animal’(False);,A rare Patronus means that the Patronus itself is more powerful – true or false?,True(False);False(True);,Which of these animals was the Patronus of Hermione Granger?,Otter(True);Badger(False);Weasel(False);Raccoon(False);,While learning how to cast a Patronus&#44 Harry was told by Lupin to concentrate on a happy memory. What was the first one he chose?,Seeing Hogwarts for the first time(False);Finding out he was a wizard for the first time(False);Making friends with Ron and Hermione(False);The moment he first rode a broomstick(True);,
The Death Eaters Quiz,https://www.wizardingworld.com/quiz/the-death-eaters-quiz,15,Where did Harry first see Death Eaters in the flesh?,The Quidditch World Cup(True);Little Hangleton graveyard(False);Godric’s Hollow(False);Malfoy Manor(False);,Where on the body is the Dark Mark burned into a Death Eater’s skin?,Right upper arm(False);Right forearm(False);Left upper arm(False);Left forearm(True);,What spell do Death Eaters use to conjure up the Dark Mark in the sky?,Piertotum Locomotur(False);Morsmordre(True);Stupefy(False);Avada Kedevra(False);,Which of these Death Eaters were not present in the Little Hangleton graveyard in Harry Potter and the Goblet of Fire?,Lucius Malfoy(False);Severus Snape(True);Peter Pettigrew(False);Walden Macnair(False);,How many Death Eaters broke out of Azkaban in Harry Potter and the Order of the Phoenix?,20(False);18(False);15(False);10(True);,How did the Death Eaters kill Broderick Bode while he was recovering in St Mungo’s?,Mandrake(False);Gillyweed(False);Devil’s Snare(True);Venomous Tentacula(False);,What did Bellatrix Lestrange say the Dark Lord called her?,His most loved(False);His most trusted(False);His most precious(False);His most loyal(True);,What colour is a Death Eater’s Dark Mark when inactive?,Red(True);Green(False);Black(False);Blue(False);,What position did the Imperiused Pius Thicknesse hold once the Death Eaters had infiltrated the Ministry of Magic?,Minister for Magic(True);Head of the Magical Law Enforcement Squad(False);Junior Minister in the Department of Magical Catastrophes(False);Head of the Department of Mysteries(False);,Why don’t the Death Eaters attack Harry when they first confront him in the Department of Mysteries?,Voldemort told them not to(False);Harry has already been disarmed(False);They know he’s cast a Shield Charm(False);He’s holding the Prophecy(True);,Which of Voldemort’s Death Eaters impersonates the Auror&#44 Mad-Eye Moody in Harry’s fourth year?,Antonin Dolohov(False);Alecto Carrow(False);Barty Crouch Jr(True);Evan Rosier(False);,Who kills Bellatrix Lestrange during the Battle of Hogwarts?,Nymphadora Tonks(False);Harry Potter(False);Remus Lupin(False);Molly Weasley(True);,Why does Neville Longbottom react so badly to Bellatrix Lestrange?,She used the Imperius curse on his parents(False);She killed his parents(False);She had his parents sent to Azkaban(False);She used the Cruciatus curse on his parents(True);,Which Death Eater removes George’s ear with a Sectumsempra spell?,Goyle Senior(False);Severus Snape(True);Amycus Carrow(False);Crabbe Senior(False);,When Harry leaves Number 4 Privet Drive for the last time&#44 how do the Death Eaters know he is the real Harry Potter?,They have information he’ll be with Hagrid(False);Stan Shunpike recognises him(False);He uses Expelliamus(True);His lightening scar(False);,
The Molly Weasley Quiz,https://www.wizardingworld.com/quiz/the-molly-weasley-quiz,10,How many sons does Molly Weasley have?,5(False);6(True);3(False);7(False);,Whose music does Molly Weasley most enjoy?,Merpeople(False);The Weird Sisters(False);Stubby Boardman(False);Celestina Warbeck(True);,When Molly Weasley sends a letter to the Dursleys asking their permission to take Harry to the Quidditch World Cup&#44 why does the postman notice it?,She addresses it to ‘The Muggles living with Harry Potter’(False);She draws a map of the Burrow on the back(False);She writes the Dursley’s address in enormous writing(False);She covers the envelope in stamps(True);,Who does Molly Weasley kill in a one-on-one duel at the Battle of Hogwarts?,Alecto Carrow(False);Corban Yaxley(False);Antonin Dolohov(False);Bellatrix Lestrange(True);,What is Mr Weasley’s nickname for Mrs Weasley when they’re alone together?,Redcap(False);Gingernewt(False);Mollycuddles(False);Mollywobbles(True);,Who does Molly Weasley take advice from when it comes to de-gnoming the garden?,Pomona Sprout(False);Gilderoy Lockhart(True);Neville Longbottom(False);Newt Scamander(False);,What colour is the jumper Mrs Weasley knits for Harry in his first year at Hogwarts?,Emerald(True);Maroon(False);Yellow(False);Turquoise(False);,What does Mrs Weasley send Ron via Owl Post in his second year with embarrassing consequences?,A Howler(True);A Weasley jumper(False);Sleekeazy’s Hair Potion(False);A Babbitty Rabbitty toy(False);,Why does Molly Weasley send Hermione such a small Easter egg in Harry Potter and the Goblet of Fire?,She finds the ‘Get Well Soon’ card sent to Hermione by Gilderoy Lockhart and is jealous(False);She’s offended that Hermione didn’t wear her Weasley jumper to the Quidditch World Cup(False);She thinks Hermione helped Harry enter the Triwizard Tournament(False);She has read Rita Skeeter’s article about the Harry-Krum-Hermione love triangle in Witch Weekly(True);,When Mrs Weasley comes across a boggart in Number 12 Grimmauld Place&#44 which of her sons does it not turn into?,Charlie(True);Bill(False);Percy(False);George(False);,
The Professor Flitwick Quiz,https://www.wizardingworld.com/quiz/the-professor-flitwick-quiz,10,What spell did Professor Flitwick use on Trevor the toad?,Obliviate(False);Muffliato(False);Wingardium Leviosa(True);Engorgio(False);,What is Professor Flitwick’s blood status?,Half-blood(False);Part-Goblin(True);Pure-blood(False);Half-giant(False);,What Hogwarts house is Flitwick head of?,Ravenclaw(True);Slytherin(False);Gryffindor(False);Hufflepuff(False);,Which charm does Flitwick compliment Harry on during the Triwizard Tournament?,The Banishing Charm(False);The Summoning Charm(True);The Levitation Charm(False);The Cheering Charm(False);,Which Hogwarts Professor did Flitwick once teach charms to?,Sybill Trelawney(False);Severus Snape(True);Gilderoy Lockhart(False);Quirinus Quirrell(False);,Which protection of the Philosopher’s Stone was Professor Flitwick responsible for?,Winged keys(True);Mirror of Erised(False);Devil’s Snare(False);Chessboard(False);,What drink does Professor Flitwick order at the Three Broomsticks in Harry's third year?,Cherry syrup and soda with ice and umbrella(True);Butterbeer(False);Four glasses of mulled mead(False);Gillywater(False);,Who did Professor Flitwick pull a cracker with on Christmas day?,Harry Potter(False);Professor Dumbledore(True);Professor McGonagall(False);Hagrid(False);,What was Professor Flitwick’s reaction to finding out Ginny was in the Chamber of Secrets?,Announced he would save her(False);Burst into tears(True);Froze and was unable to move(False);Fainted(False);,To which year did Professor Flitwick teach Cheering Charms?,Third years(True);Fifth years(False);First years(False);Fourth years(False);,
The Professor McGonagall Quiz,https://www.wizardingworld.com/quiz/the-professor-mcgonagall-quiz,15,Let’s start easy. What house is Professor McGonagall head of?,Hufflepuff(False);Slytherin(False);Ravenclaw(False);Gryffindor(True);,What breed of cat is McGonagall’s Animagus?,Scottish Fold(False);Silver Tabby(True);Siamese(False);Calico(False);,Which Quidditch team does McGonagall support?,Holyhead Harpies(False);The Appleby Arrows(False);Montrose Magpies(True);The Ballycastle Bats(False);,Which Hogwarts house did McGonagall almost get sorted into?,She didn’t – it was always Gryffindor(False);Slytherin(False);Hufflepuff(False);Ravenclaw(True);,Who did McGonagall fall in love with at the age of 18?,Henry Shaw(False);Dougal McGregor(True);Silvanus Kettleburn(False);Fleamont Potter(False);,Where was McGonagall’s first job after finishing school?,The Ministry of Magic(True);MACUSA(False);Mahoutokoro School of Magic(False);Hogwarts School of Witchcraft and Wizardry(False);,How does McGonagall’s eventual husband&#44 Elphinstone&#44 die?,Curse that backfired(False);Venomous Tentacula bite(True);Dragon Pox(False);Killed by Lord Voldemort(False);,What protection of the Philosopher’s Stone was placed by McGonagall?,Flying keys(False);Chessboard(True);Potions puzzle(False);Fluffy(False);,What spell does McGonagall use to get the statues to come to life in Deathly Hallows?,Wingardium Leviosa(False);Homenum Revelio(False);Piertotum Locomotor(True);Priori Incantatem(False);,What is McGonagall’s job title when Albus Potter comes to Hogwarts?,Potions Master(False);Head of Herbology(False);Headmistress(True);Deputy Headmistress(False);,Which broomstick did McGonagall give to Harry in his first year?,Firebolt(False);Nimbus 2000(True);Nimbus 2001(False);Comet Two Ninety(False);,What punishment did McGonagall give to Harry for flying the Ford Anglia to Hogwarts in Chamber of Secrets?,Looking for unicorn blood in the Forbidden Forest(False);Cutting the school grass(False);Helping Lockhart answer his fan mail(True);Polishing the trophy room(False);,What was McGonagall’s mother called?,Elizabeth(False);Aileen(False);Isobel(True);Sophie(False);,What was Minerva’s dad called?,David(False);Robert(True);Dougal(False);Alastair(False);,What did McGonagall say when she saw Peeves trying to loosen the crystal chandelier in Order of the Phoenix?,Carry on&#44 Mr Peeves(False);It unscrews the other way(True);Shoo!(False);You’ve got to put your back into it(False);,
The Hermione Granger Quiz,https://www.wizardingworld.com/quiz/the-hermione-granger-quiz,15,Which spell caused Hermione's front teeth to grow rapidly?,Tarantallegra(False);Furnunculus(False);Densaugeo(True);Episkey(False);,What was Hermione's Defence Against the Dark Arts O.W.L. result?,Exceeds Expectations(True);Outstanding(False);Acceptable(False);Troll(False);,Who did Hermione take to Slughorn's Christmas party?,Harry Potter(False);Cormac McLaggen(True);Viktor Krum(False);Ron Weasley(False);,What job do Hermione’s Muggle-born parents do?,Lawyers(False);Doctors(False);Librarians(False);Dentists(True);,What form does Hermione’s Patronus take?,Otter(True);Jack Russell Terrier(False);Wild Boar(False);Hare(False);,What is Hermione’s wand wood and core?,Vine and dragon heartstring(True);Olive and unicorn hair(False);Chestnut and phoenix feather(False);Blackthorn and dragon heartstring(False);,Hermione’s cat Crookshanks is half cat&#44 half ____,Chimaera(False);Niffler(False);Wampus(False);Kneazle(True);,Hermione received hate mail after Rita Skeeter writes about her in which publication?,The Quibbler(False);The Daily Prophet(False);Transfiguration Today(False);Witch Weekly(True);,The chapter “Hermione’s Secret” revealed which magical object?,A Portkey(False);Sneakoscope(False);Vanishing Cabinet(False);Time-Turner(True);,Which of these is one of Hermione’s signature spells?,Violet flames(False);Lavender flames(False);Bluebell flames(True);Periwinkle flames(False);,What is Hermione’s middle name?,Louise(False);Jean(True);Rose(False);Juliet(False);,Whose robes did Hermione mistakenly pluck a cat hair from?,Daphne Greengrass(False);Lavender Brown(False);Pansy Parkinson(False);Millicent Bulstrode(True);,What was Hermione’s surname initially going to be&#44 before J.K. Rowling decided on ‘Granger’?,Puckle(True);Smith(False);Rivers(False);Jones(False);,Where did Hermione make her parents relocate to?,Australia(True);Canada(False);France(False);Ireland(False);,Which Horcrux did Hermione destroy?,Marvolo Gaunt's ring(False);Rowena Ravenclaw’s diadem(False);Helga Hufflepuff’s cup(True);Salazar Slytherin’s locket(False);,
